,facet,stem_text,drift_flag,readability_flag,length_flag,anchor,cosine_similarity
0,Analytical Reasoning,I solve problems by dividing them into clear steps.,0,0,0,I break problems into clear steps.,0.79059464
1,Analytical Reasoning,I handle problems by breaking them down into manageable steps.,0,0,0,I break problems into clear steps.,0.7594726
2,Analytical Reasoning,I tackle issues by splitting them into clear parts.,0,0,0,I break problems into clear steps.,0.57191586
3,Analytical Reasoning,I work through problems by separating them into clear stages.,0,0,0,I break problems into clear steps.,0.66346407
4,Analytical Reasoning,I manage problems by dividing them into easy steps.,0,0,0,I break problems into clear steps.,0.7330903
5,Analytical Reasoning,I deal with problems by turning them into clear steps.,0,0,0,I break problems into clear steps.,0.8509582
6,Analytical Reasoning,I approach problems by breaking them into understandable steps.,0,0,0,I break problems into clear steps.,0.7382616
7,Analytical Reasoning,I resolve issues by organizing them into clear phases.,0,0,0,I break problems into clear steps.,0.54531705
8,Analytical Reasoning,I confront problems by dividing them into clear steps.,0,0,0,I break problems into clear steps.,0.758879
9,Analytical Reasoning,I figure out problems by breaking them into parts.,0,0,0,I break problems into clear steps.,0.5912075
10,Analytical Reasoning,I navigate problems by separating them into clear steps.,0,0,0,I break problems into clear steps.,0.7816571
11,Analytical Reasoning,I clarify problems by splitting them into simple steps.,0,0,0,I break problems into clear steps.,0.63793975
12,Analytical Reasoning,I handle challenges by dividing them into clear steps.,0,0,0,I break problems into clear steps.,0.6335925
13,Analytical Reasoning,I solve issues by breaking them down into understandable steps.,0,0,0,I break problems into clear steps.,0.7610662
14,Analytical Reasoning,I work on problems by organizing them into clear steps.,0,0,0,I break problems into clear steps.,0.7230499
15,Analytical Reasoning,I deal with challenges by dividing them into easy steps.,0,0,0,I break problems into clear steps.,0.586141
16,Analytical Reasoning,I address issues by breaking them into clear sections.,0,0,0,I break problems into clear steps.,0.54655755
17,Analytical Reasoning,I approach challenges by dividing them into simple steps.,0,0,0,I break problems into clear steps.,0.59809554
18,Analytical Reasoning,I face problems by organizing them into clear steps.,0,0,0,I break problems into clear steps.,0.71424425
19,Analytical Reasoning,I tackle problems by breaking them into distinct steps.,0,0,0,I break problems into clear steps.,0.79350513
20,Analytical Reasoning,I handle situations by dividing them into clear steps.,0,0,0,I break problems into clear steps.,0.6304853
21,Analytical Reasoning,I resolve problems by separating them into easy parts.,0,0,0,I break problems into clear steps.,0.58302593
22,Analytical Reasoning,I manage challenges by breaking them into clear steps.,0,0,0,I break problems into clear steps.,0.6328326
23,Analytical Reasoning,I confront issues by organizing them into simple steps.,0,0,0,I break problems into clear steps.,0.63214654
24,Analytical Reasoning,I work through challenges by dividing them into clear phases.,0,0,0,I break problems into clear steps.,0.5534226
25,Analytical Reasoning,I solve problems by splitting them into clear stages.,0,0,0,I break problems into clear steps.,0.73788774
26,Analytical Reasoning,I address challenges by breaking them into manageable steps.,0,0,0,I break problems into clear steps.,0.58638084
27,Systems Perspective,I understand how pieces come together to form a complete picture.,0,0,0,I see how parts fit a whole.,0.5229858
28,Systems Perspective,I notice how different elements make a whole.,0,0,0,I see how parts fit a whole.,0.5201455
29,Systems Perspective,I recognize how various parts combine to make something complete.,0,0,0,I see how parts fit a whole.,0.5551543
30,Systems Perspective,I see how individual sections create a unified whole.,0,0,0,I see how parts fit a whole.,0.48021245
31,Systems Perspective,I perceive how components fit together to form a complete unit.,0,0,0,I see how parts fit a whole.,0.6666457
32,Systems Perspective,I grasp how separate parts connect to make a full picture.,0,0,0,I see how parts fit a whole.,0.5864623
33,Systems Perspective,I comprehend how elements join to create a whole.,0,0,0,I see how parts fit a whole.,0.4571383
34,Systems Perspective,I realize how different pieces work together to form a complete structure.,0,0,0,I see how parts fit a whole.,0.55151
35,Systems Perspective,I observe how parts link to create something complete.,0,0,0,I see how parts fit a whole.,0.52887344
36,Systems Perspective,I notice how different sections contribute to a full picture.,0,0,0,I see how parts fit a whole.,0.39507604
37,Systems Perspective,I see how pieces align to form a complete image.,0,0,0,I see how parts fit a whole.,0.5747575
38,Systems Perspective,I recognize how each part plays a role in the whole.,0,0,0,I see how parts fit a whole.,0.5583494
39,Systems Perspective,I understand how components fit together in a complete form.,0,0,0,I see how parts fit a whole.,0.6114032
40,Systems Perspective,I realize how sections blend to make a whole.,0,0,0,I see how parts fit a whole.,0.5236499
41,Systems Perspective,I observe how different pieces fit into a complete structure.,0,0,0,I see how parts fit a whole.,0.64319646
42,Systems Perspective,I perceive how individual parts create a complete image.,0,0,0,I see how parts fit a whole.,0.52282447
43,Systems Perspective,I grasp how various sections combine to form a whole.,0,0,0,I see how parts fit a whole.,0.45968756
44,Systems Perspective,I comprehend how pieces fit together to make something complete.,0,0,0,I see how parts fit a whole.,0.5927178
45,Systems Perspective,I notice how elements join to create a full picture.,0,0,0,I see how parts fit a whole.,0.3735669
