,facet,anchor,stem,cosine_similarity,drift_flag,length_flag
0,I break problems into clear steps.,Analytical Reasoning,I analyze situations carefully.,0.50238425,1,0
1,I break problems into clear steps.,Analytical Reasoning,I think logically to solve problems.,0.5425284,1,0
2,I break problems into clear steps.,Analytical Reasoning,I use reasoning to understand information.,0.5576021,1,0
3,I break problems into clear steps.,Analytical Reasoning,I evaluate facts to make decisions.,0.52104086,1,0
4,I break problems into clear steps.,Analytical Reasoning,I assess data to draw conclusions.,0.55638844,1,0
5,I break problems into clear steps.,Analytical Reasoning,I process information critically.,0.36142126,1,0
6,I break problems into clear steps.,Analytical Reasoning,I use logic to interpret situations.,0.51350343,1,0
7,I break problems into clear steps.,Analytical Reasoning,I examine evidence to find solutions.,0.5576384,1,0
8,I break problems into clear steps.,Analytical Reasoning,I think through issues systematically.,0.45806718,1,0
9,I break problems into clear steps.,Analytical Reasoning,I use analytical skills in my work.,0.6202963,1,0
10,I break problems into clear steps.,Analytical Reasoning,I break down problems to understand them.,0.48677465,1,0
11,I break problems into clear steps.,Analytical Reasoning,I organize information to analyze it.,0.42730725,1,0
12,I break problems into clear steps.,Analytical Reasoning,I consider all possibilities before deciding.,0.24433014,1,0
13,I break problems into clear steps.,Analytical Reasoning,I use facts to support my conclusions.,0.422679,1,0
14,I break problems into clear steps.,Analytical Reasoning,I identify patterns in complex data.,0.43535316,1,0
15,I break problems into clear steps.,Analytical Reasoning,I solve problems using logical thinking.,0.5485898,1,0
16,I break problems into clear steps.,Analytical Reasoning,I understand situations by analyzing details.,0.5086676,1,0
17,I break problems into clear steps.,Analytical Reasoning,I compare information to find answers.,0.5241765,1,0
18,I break problems into clear steps.,Analytical Reasoning,I apply reasoning to everyday tasks.,0.5539918,1,0
19,I break problems into clear steps.,Analytical Reasoning,I evaluate options using logical methods.,0.60633993,1,0
20,I break problems into clear steps.,Analytical Reasoning,I use evidence to support my ideas.,0.38130194,1,0
21,I break problems into clear steps.,Analytical Reasoning,I think critically about challenges.,0.36389256,1,0
22,I break problems into clear steps.,Analytical Reasoning,I analyze information to make sense of it.,0.5283536,1,0
23,I break problems into clear steps.,Analytical Reasoning,I approach problems with a clear mind.,0.3494709,1,0
24,I break problems into clear steps.,Analytical Reasoning,I reason through situations step by step.,0.4325301,1,0
25,I see how parts fit a whole.,Systems Perspective,I see how different parts work together in a system.,0.50341135,1,0
26,I see how parts fit a whole.,Systems Perspective,I understand how everything connects in a system.,0.44473502,1,0
27,I see how parts fit a whole.,Systems Perspective,I view things from a broader system perspective.,0.7481422,1,0
28,I see how parts fit a whole.,Systems Perspective,I consider how parts interact within a system.,0.5228187,1,0
29,I see how parts fit a whole.,Systems Perspective,I recognize the relationships in a system.,0.5409812,1,0
30,I see how parts fit a whole.,Systems Perspective,I think about systems as a whole.,0.7382951,1,0
31,I see how parts fit a whole.,Systems Perspective,I approach problems by looking at the entire system.,0.56187505,1,0
32,I see how parts fit a whole.,Systems Perspective,I grasp how elements fit in a system.,0.44864237,1,0
33,I see how parts fit a whole.,Systems Perspective,I appreciate the complexity of systems.,0.4749906,1,0
34,I see how parts fit a whole.,Systems Perspective,I see the big picture in systems.,0.69816345,1,0
35,I see how parts fit a whole.,Systems Perspective,I analyze how systems function as a whole.,0.6823509,1,0
36,I see how parts fit a whole.,Systems Perspective,I notice the connections between different system parts.,0.45018286,1,0
37,I see how parts fit a whole.,Systems Perspective,I understand the overall system structure.,0.5301254,1,0
38,I see how parts fit a whole.,Systems Perspective,I pay attention to how systems operate together.,0.5929494,1,0
39,I see how parts fit a whole.,Systems Perspective,I study systems to see how they work.,0.6278708,1,0
40,I see how parts fit a whole.,Systems Perspective,I consider the whole system in my analysis.,0.50006455,1,0
41,I see how parts fit a whole.,Systems Perspective,I observe how systems are organized.,0.6046895,1,0
42,I see how parts fit a whole.,Systems Perspective,I examine how each part affects the system.,0.46574008,1,0
43,I see how parts fit a whole.,Systems Perspective,I focus on the system's overall functioning.,0.61013985,1,0
44,I see how parts fit a whole.,Systems Perspective,I think about how everything is part of a system.,0.6412965,1,0
45,I see how parts fit a whole.,Systems Perspective,I realize the importance of systems thinking.,0.661392,1,0
46,I see how parts fit a whole.,Systems Perspective,I evaluate situations from a system's viewpoint.,0.751887,0,0
47,I see how parts fit a whole.,Systems Perspective,I consider the system's dynamics and interactions.,0.491157,1,0
48,I see how parts fit a whole.,Systems Perspective,I look at the system's complete framework.,0.5324639,1,0
49,I see how parts fit a whole.,Systems Perspective,I understand systems by seeing how they interconnect.,0.5633175,1,0
50,I anticipate future outcomes.,Foresight,I think about future possibilities.,0.4534329,1,0
51,I anticipate future outcomes.,Foresight,I plan for what might happen later.,0.41942358,1,0
52,I anticipate future outcomes.,Foresight,I prepare in advance for things.,0.43581468,1,0
53,I anticipate future outcomes.,Foresight,I consider what could come next.,0.3906743,1,0
54,I anticipate future outcomes.,Foresight,I look ahead to what's possible.,0.36801445,1,0
55,I anticipate future outcomes.,Foresight,I anticipate future situations.,0.49660814,1,0
56,I anticipate future outcomes.,Foresight,I imagine what may occur.,0.19078214,1,0
57,I anticipate future outcomes.,Foresight,I foresee potential challenges.,0.34561846,1,0
58,I anticipate future outcomes.,Foresight,I envision upcoming events.,0.41493762,1,0
59,I anticipate future outcomes.,Foresight,I predict what might take place.,0.41812575,1,0
60,I anticipate future outcomes.,Foresight,I expect changes down the road.,0.113366626,1,0
61,I anticipate future outcomes.,Foresight,I see ahead to future outcomes.,0.5038532,1,0
62,I anticipate future outcomes.,Foresight,I plan for tomorrow's situations.,0.41381577,1,0
63,I anticipate future outcomes.,Foresight,I think about future scenarios.,0.4463724,1,0
64,I anticipate future outcomes.,Foresight,I strategize for what's ahead.,0.4470833,1,0
65,I anticipate future outcomes.,Foresight,I consider long-term effects.,0.1530531,1,0
66,I anticipate future outcomes.,Foresight,I prepare for future needs.,0.45860305,1,0
67,I anticipate future outcomes.,Foresight,I visualize future developments.,0.4608959,1,0
68,I anticipate future outcomes.,Foresight,I evaluate what could happen.,0.37314978,1,0
69,I anticipate future outcomes.,Foresight,I think about future consequences.,0.4129187,1,0
70,I anticipate future outcomes.,Foresight,I prepare for upcoming challenges.,0.3741044,1,0
71,I anticipate future outcomes.,Foresight,I look to the future with a plan.,0.5226302,1,0
72,I anticipate future outcomes.,Foresight,I plan for what lies ahead.,0.43803853,1,0
73,I anticipate future outcomes.,Foresight,I assess future risks.,0.45519936,1,0
74,I anticipate future outcomes.,Foresight,I think about what's next.,0.3591286,1,0
75,I enjoy exploring new ideas.,Curiosity,I am eager to learn new things.,0.2604499,1,0
76,I enjoy exploring new ideas.,Curiosity,I like to explore different topics.,0.4146654,1,0
77,I enjoy exploring new ideas.,Curiosity,I enjoy discovering new information.,0.42372936,1,0
78,I enjoy exploring new ideas.,Curiosity,I am interested in finding out more.,0.2828914,1,0
79,I enjoy exploring new ideas.,Curiosity,I feel excited about learning.,0.22289386,1,0
80,I enjoy exploring new ideas.,Curiosity,I want to understand how things work.,0.1589265,1,0
81,I enjoy exploring new ideas.,Curiosity,I am always looking for new ideas.,0.18071145,1,0
82,I enjoy exploring new ideas.,Curiosity,I search for answers to my questions.,0.4389671,1,0
83,I enjoy exploring new ideas.,Curiosity,I like to ask questions to learn more.,0.48801285,1,0
84,I enjoy exploring new ideas.,Curiosity,I enjoy figuring out how things operate.,0.336931,1,0
85,I enjoy exploring new ideas.,Curiosity,I am keen to discover new places.,0.30860424,1,0
86,I enjoy exploring new ideas.,Curiosity,I investigate topics that interest me.,0.4518994,1,0
87,I enjoy exploring new ideas.,Curiosity,I am always ready to learn something new.,0.19837928,1,0
88,I enjoy exploring new ideas.,Curiosity,I take pleasure in exploring new areas.,0.37802398,1,0
89,I enjoy exploring new ideas.,Curiosity,I seek to know more about the world.,0.40503603,1,0
90,I enjoy exploring new ideas.,Curiosity,I am drawn to uncovering secrets.,0.4144284,1,0
91,I enjoy exploring new ideas.,Curiosity,I have a strong interest in new experiences.,0.3904807,1,0
92,I enjoy exploring new ideas.,Curiosity,I am fascinated by learning different things.,0.443709,1,0
93,I enjoy exploring new ideas.,Curiosity,I want to find out more about people.,0.3715319,1,0
94,I enjoy exploring new ideas.,Curiosity,I am inclined to learn about new cultures.,0.25935864,1,0
95,I enjoy exploring new ideas.,Curiosity,I seek to understand new concepts.,0.31650364,1,0
96,I enjoy exploring new ideas.,Curiosity,I am curious about the unknown.,0.35132766,1,0
97,I enjoy exploring new ideas.,Curiosity,I am motivated to gain new knowledge.,0.34073573,1,0
98,I enjoy exploring new ideas.,Curiosity,I am passionate about learning new skills.,0.30251843,1,0
99,I enjoy exploring new ideas.,Curiosity,I enjoy unraveling mysteries.,0.38887855,1,0
100,I think about what I've learned.,Reflective Learning,I think about my learning experiences.,0.5211709,1,0
101,I think about what I've learned.,Reflective Learning,I consider what I learn and how.,0.51175845,1,0
102,I think about what I've learned.,Reflective Learning,I review what I study regularly.,0.36037546,1,0
103,I think about what I've learned.,Reflective Learning,I evaluate my progress in learning.,0.5452981,1,0
104,I think about what I've learned.,Reflective Learning,I analyze how I learn best.,0.5543488,1,0
105,I think about what I've learned.,Reflective Learning,I assess my understanding of the material.,0.41047442,1,0
106,I think about what I've learned.,Reflective Learning,I explore my methods of learning.,0.58592093,1,0
107,I think about what I've learned.,Reflective Learning,I examine my learning process.,0.6026834,1,0
108,I think about what I've learned.,Reflective Learning,I observe my own learning habits.,0.537786,1,0
109,I think about what I've learned.,Reflective Learning,I focus on improving how I learn.,0.48229632,1,0
110,I think about what I've learned.,Reflective Learning,I pay attention to my learning techniques.,0.5273273,1,0
111,I think about what I've learned.,Reflective Learning,I study how I approach new topics.,0.43293977,1,0
112,I think about what I've learned.,Reflective Learning,I look back at what I have learned.,0.49885333,1,0
113,I think about what I've learned.,Reflective Learning,I think critically about my education.,0.49764806,1,0
114,I think about what I've learned.,Reflective Learning,I reflect on my learning journey.,0.5750455,1,0
115,I think about what I've learned.,Reflective Learning,I understand how I acquire new knowledge.,0.45486644,1,0
116,I think about what I've learned.,Reflective Learning,I consider my strengths in learning.,0.40685713,1,0
117,I think about what I've learned.,Reflective Learning,I identify areas to improve in my studies.,0.4123086,1,0
118,I think about what I've learned.,Reflective Learning,I recognize my learning achievements.,0.47890085,1,0
119,I think about what I've learned.,Reflective Learning,I notice how I engage with new information.,0.40994078,1,0
120,I think about what I've learned.,Reflective Learning,I develop awareness of my learning style.,0.57009745,1,0
121,I think about what I've learned.,Reflective Learning,I question my understanding of topics.,0.3161111,1,0
122,I think about what I've learned.,Reflective Learning,I look for patterns in my learning.,0.5089421,1,0
123,I think about what I've learned.,Reflective Learning,I find ways to enhance my learning skills.,0.5215343,1,0
124,I think about what I've learned.,Reflective Learning,I adapt my strategies to learn better.,0.50210756,1,0
125,I turn data into clear stories.,Sense-Making,I understand the information clearly.,0.32510436,1,0
126,I turn data into clear stories.,Sense-Making,I find meaning in what I read.,0.4188673,1,0
127,I turn data into clear stories.,Sense-Making,I grasp the main idea easily.,0.37576628,1,0
128,I turn data into clear stories.,Sense-Making,I make sense of what I hear.,0.48502347,1,0
129,I turn data into clear stories.,Sense-Making,I connect ideas successfully.,0.39141455,1,0
130,I turn data into clear stories.,Sense-Making,I comprehend the topic well.,0.38695917,1,0
131,I turn data into clear stories.,Sense-Making,I interpret the message correctly.,0.25909317,1,0
132,I turn data into clear stories.,Sense-Making,I clarify the details in my mind.,0.37795365,1,0
133,I turn data into clear stories.,Sense-Making,I understand the purpose of the text.,0.31379572,1,0
134,I turn data into clear stories.,Sense-Making,I see the logic in the situation.,0.37651476,1,0
135,I turn data into clear stories.,Sense-Making,I recognize patterns in the information.,0.40149927,1,0
136,I turn data into clear stories.,Sense-Making,I identify key points quickly.,0.31905288,1,0
137,I turn data into clear stories.,Sense-Making,I follow the flow of the conversation.,0.25688168,1,0
138,I turn data into clear stories.,Sense-Making,I organize my thoughts effectively.,0.35592687,1,0
139,I turn data into clear stories.,Sense-Making,I relate the facts to each other.,0.3192524,1,0
140,I turn data into clear stories.,Sense-Making,I summarize the content accurately.,0.2698358,1,0
141,I turn data into clear stories.,Sense-Making,I see the significance of the details.,0.26146516,1,0
142,I turn data into clear stories.,Sense-Making,I analyze the information thoughtfully.,0.4283539,1,0
143,I turn data into clear stories.,Sense-Making,I perceive the context clearly.,0.35879955,1,0
144,I turn data into clear stories.,Sense-Making,I piece together the information logically.,0.5426104,1,0
145,I turn data into clear stories.,Sense-Making,I discern the main message.,0.35325605,1,0
146,I turn data into clear stories.,Sense-Making,I decode the meaning of complex ideas.,0.531469,1,0
147,I turn data into clear stories.,Sense-Making,I understand the overall concept.,0.29653445,1,0
148,I turn data into clear stories.,Sense-Making,I put the information into context.,0.36742556,1,0
149,I turn data into clear stories.,Sense-Making,I reflect on the meaning of what I learn.,0.4051535,1,0
150,I generate many ideas quickly.,Ideation,I come up with new ideas regularly.,0.44294342,1,0
151,I generate many ideas quickly.,Ideation,I think of creative solutions every day.,0.39055097,1,0
152,I generate many ideas quickly.,Ideation,I generate new concepts in my mind.,0.5204907,1,0
153,I generate many ideas quickly.,Ideation,I often imagine different possibilities.,0.49096876,1,0
154,I generate many ideas quickly.,Ideation,I think of innovative ways to do things.,0.52988046,1,0
155,I generate many ideas quickly.,Ideation,I create new thoughts in my mind.,0.5156136,1,0
156,I generate many ideas quickly.,Ideation,I brainstorm different ideas for projects.,0.5644413,1,0
157,I generate many ideas quickly.,Ideation,I develop new plans and strategies.,0.38795176,1,0
158,I generate many ideas quickly.,Ideation,I visualize new scenarios and outcomes.,0.45032513,1,0
159,I generate many ideas quickly.,Ideation,I invent original ideas frequently.,0.48466295,1,0
160,I generate many ideas quickly.,Ideation,I consider various options and ideas.,0.39568457,1,0
161,I generate many ideas quickly.,Ideation,I dream up unique ideas often.,0.5137187,1,0
162,I generate many ideas quickly.,Ideation,I design new ideas in my head.,0.591519,1,0
163,I generate many ideas quickly.,Ideation,I form fresh concepts and thoughts.,0.53932405,1,0
164,I generate many ideas quickly.,Ideation,I envision new possibilities and plans.,0.48639122,1,0
165,I generate many ideas quickly.,Ideation,I explore different ideas in my mind.,0.5797209,1,0
166,I generate many ideas quickly.,Ideation,I craft new ideas regularly.,0.44566926,1,0
167,I generate many ideas quickly.,Ideation,I originate new thoughts and ideas.,0.5703419,1,0
168,I generate many ideas quickly.,Ideation,I produce ideas for different situations.,0.5807319,1,0
169,I generate many ideas quickly.,Ideation,I plan new ideas for projects and tasks.,0.4905349,1,0
170,I generate many ideas quickly.,Ideation,I conceive novel ideas frequently.,0.6104808,1,0
171,I generate many ideas quickly.,Ideation,I think up different ways to solve problems.,0.49893147,1,0
172,I generate many ideas quickly.,Ideation,I formulate creative ideas in my mind.,0.6043315,1,0
173,I generate many ideas quickly.,Ideation,I devise new ideas and solutions.,0.47453043,1,0
174,I generate many ideas quickly.,Ideation,I reflect on new ideas and concepts.,0.58674395,1,0
175,I turn ideas into real projects.,Innovation,I create new ideas and solutions.,0.5533471,1,0
176,I turn ideas into real projects.,Innovation,I develop fresh approaches to problems.,0.49290806,1,0
177,I turn ideas into real projects.,Innovation,I introduce creative methods in my work.,0.4853598,1,0
178,I turn ideas into real projects.,Innovation,I bring about change through new concepts.,0.53499365,1,0
179,I turn ideas into real projects.,Innovation,I generate novel plans and strategies.,0.4412432,1,0
180,I turn ideas into real projects.,Innovation,I advance technology with unique inventions.,0.60102624,1,0
181,I turn ideas into real projects.,Innovation,I transform ideas into practical applications.,0.46473145,1,0
182,I turn ideas into real projects.,Innovation,I explore original ways to improve things.,0.5222831,1,0
183,I turn ideas into real projects.,Innovation,I find innovative solutions to challenges.,0.513923,1,0
184,I turn ideas into real projects.,Innovation,I apply creativity to everyday tasks.,0.41120932,1,0
185,I turn ideas into real projects.,Innovation,I use imagination to design new products.,0.49564058,1,0
186,I turn ideas into real projects.,Innovation,I experiment with different techniques and tools.,0.35551494,1,0
187,I turn ideas into real projects.,Innovation,I make progress by thinking outside the box.,0.41554478,1,0
188,I turn ideas into real projects.,Innovation,I combine ideas to form new inventions.,0.58777523,1,0
189,I turn ideas into real projects.,Innovation,I initiate change through creative thinking.,0.5580203,1,0
190,I turn ideas into real projects.,Innovation,I seek improvement through innovative methods.,0.5224725,1,0
191,I turn ideas into real projects.,Innovation,I adapt new technologies to everyday life.,0.5004096,1,0
192,I turn ideas into real projects.,Innovation,I work on groundbreaking projects and ideas.,0.45174262,1,0
193,I turn ideas into real projects.,Innovation,I think creatively to solve complex issues.,0.43726546,1,0
194,I turn ideas into real projects.,Innovation,I promote progress with inventive thinking.,0.6116997,1,0
195,I turn ideas into real projects.,Innovation,I revolutionize industries with my ideas.,0.57405734,1,0
196,I turn ideas into real projects.,Innovation,I contribute to advancements with my creativity.,0.5196988,1,0
197,I turn ideas into real projects.,Innovation,I inspire others with my innovative mindset.,0.517887,1,0
198,I turn ideas into real projects.,Innovation,I enhance processes with novel approaches.,0.37534028,1,0
