,facet,anchor,stem_text,cosine_similarity,drift_flag,length_flag
0,Analytical Reasoning,I break problems into clear steps.,I solve problems by dividing them into steps.,0.89895564,0,0
1,Analytical Reasoning,I break problems into clear steps.,I handle problems by breaking them into smaller parts.,0.7319869,1,0
2,Analytical Reasoning,I break problems into clear steps.,I tackle problems by splitting them into steps.,0.90553594,0,0
3,Analytical Reasoning,I break problems into clear steps.,I approach problems by separating them into clear steps.,0.905074,0,0
4,Analytical Reasoning,I break problems into clear steps.,I manage problems by dividing them into simple steps.,0.80412316,0,0
5,Analytical Reasoning,I break problems into clear steps.,I deal with problems by breaking them into steps.,0.82708424,0,0
6,Analytical Reasoning,I break problems into clear steps.,I face problems by splitting them into clear steps.,0.8245752,0,0
7,Analytical Reasoning,I break problems into clear steps.,I address problems by dividing them into steps.,0.8403763,0,0
8,Analytical Reasoning,I break problems into clear steps.,I work through problems by breaking them down into steps.,0.8485319,0,0
9,Analytical Reasoning,I break problems into clear steps.,I resolve problems by splitting them into smaller steps.,0.75692236,0,0
10,Analytical Reasoning,I break problems into clear steps.,I overcome problems by dividing them into steps.,0.7705789,0,0
11,Analytical Reasoning,I break problems into clear steps.,I handle issues by breaking them into steps.,0.71607745,1,0
12,Analytical Reasoning,I break problems into clear steps.,I solve issues by dividing them into smaller parts.,0.7560549,0,0
13,Analytical Reasoning,I break problems into clear steps.,I tackle issues by splitting them into steps.,0.8550718,0,0
14,Analytical Reasoning,I break problems into clear steps.,I approach issues by separating them into clear steps.,0.8199785,0,0
15,Analytical Reasoning,I break problems into clear steps.,I manage issues by dividing them into simple steps.,0.72433776,1,0
16,Analytical Reasoning,I break problems into clear steps.,I deal with issues by breaking them into steps.,0.76639414,0,0
17,Analytical Reasoning,I break problems into clear steps.,I face issues by splitting them into clear steps.,0.7410364,1,0
18,Analytical Reasoning,I break problems into clear steps.,I address issues by dividing them into steps.,0.7578426,0,0
19,Analytical Reasoning,I break problems into clear steps.,I work through issues by breaking them down into steps.,0.7698421,0,0
20,Analytical Reasoning,I break problems into clear steps.,I resolve issues by splitting them into smaller steps.,0.6167666,1,0
21,Analytical Reasoning,I break problems into clear steps.,I overcome issues by dividing them into steps.,0.6816516,1,0
22,Analytical Reasoning,I break problems into clear steps.,I handle challenges by breaking them into steps.,0.7235284,1,0
23,Analytical Reasoning,I break problems into clear steps.,I solve challenges by dividing them into smaller parts.,0.7621615,0,0
24,Analytical Reasoning,I break problems into clear steps.,I tackle challenges by splitting them into steps.,0.77707064,0,0
25,Analytical Reasoning,I break problems into clear steps.,I approach challenges by separating them into clear steps.,0.76227045,0,0
26,Analytical Reasoning,I break problems into clear steps.,I manage challenges by dividing them into simple steps.,0.7394842,1,0
27,Analytical Reasoning,I break problems into clear steps.,I deal with challenges by breaking them into steps.,0.7279935,1,0
28,Systems Perspective,I see how parts fit a whole.,I understand how pieces come together to form a complete picture.,0.708775,1,0
29,Systems Perspective,I see how parts fit a whole.,I can tell how different elements work together.,0.51625526,1,0
30,Systems Perspective,I see how parts fit a whole.,I notice how individual parts combine into a whole.,0.7702902,0,0
31,Systems Perspective,I see how parts fit a whole.,I recognize how various components fit into a larger system.,0.7345783,1,0
32,Systems Perspective,I see how parts fit a whole.,I grasp how separate pieces create a complete structure.,0.7352941,1,0
33,Systems Perspective,I see how parts fit a whole.,I perceive how various parts integrate into one.,0.7330483,1,0
34,Systems Perspective,I see how parts fit a whole.,I comprehend how individual elements contribute to a whole.,0.6491537,1,0
35,Systems Perspective,I see how parts fit a whole.,I identify how different sections connect to make a complete unit.,0.6249431,1,0
36,Systems Perspective,I see how parts fit a whole.,I discern how separate parts make up a whole.,0.7615399,0,0
37,Systems Perspective,I see how parts fit a whole.,I realize how various pieces fit together in a system.,0.6746446,1,0
38,Systems Perspective,I see how parts fit a whole.,I observe how different elements fit into a complete picture.,0.7178054,1,0
39,Systems Perspective,I see how parts fit a whole.,I see how components come together as one.,0.7783978,0,0
40,Systems Perspective,I see how parts fit a whole.,I understand how sections form a complete whole.,0.5194789,1,0
41,Systems Perspective,I see how parts fit a whole.,I can see how individual parts are part of a bigger picture.,0.79714847,0,0
42,Systems Perspective,I see how parts fit a whole.,I recognize how different elements fit into a complete system.,0.7130779,1,0
43,Systems Perspective,I see how parts fit a whole.,I notice how various components come together to form a whole.,0.766804,0,0
