,facet,anchor,stem_text,cosine_similarity,drift_flag,length_flag
0,Analytical Reasoning,I break problems into clear steps.,I solve problems by dividing them into steps.,0.737447,1,0
1,Analytical Reasoning,I break problems into clear steps.,I handle problems by breaking them into smaller parts.,0.5318155,1,0
2,Analytical Reasoning,I break problems into clear steps.,I tackle problems by splitting them into steps.,0.80018383,0,0
3,Analytical Reasoning,I break problems into clear steps.,I approach problems by separating them into clear steps.,0.7945225,0,0
4,Analytical Reasoning,I break problems into clear steps.,I manage problems by dividing them into simple steps.,0.74817395,1,0
5,Analytical Reasoning,I break problems into clear steps.,I deal with problems by breaking them into steps.,0.8202855,0,0
6,Analytical Reasoning,I break problems into clear steps.,I face problems by splitting them into clear steps.,0.8013326,0,0
7,Analytical Reasoning,I break problems into clear steps.,I address problems by dividing them into steps.,0.73812175,1,0
8,Analytical Reasoning,I break problems into clear steps.,I work through problems by breaking them down into steps.,0.7748536,0,0
9,Analytical Reasoning,I break problems into clear steps.,I resolve problems by splitting them into smaller steps.,0.7673553,0,0
10,Analytical Reasoning,I break problems into clear steps.,I overcome problems by dividing them into steps.,0.7831081,0,0
11,Analytical Reasoning,I break problems into clear steps.,I handle issues by breaking them into steps.,0.7724349,0,0
12,Analytical Reasoning,I break problems into clear steps.,I solve issues by dividing them into smaller parts.,0.5728704,1,0
13,Analytical Reasoning,I break problems into clear steps.,I tackle issues by splitting them into steps.,0.7598485,0,0
14,Analytical Reasoning,I break problems into clear steps.,I approach issues by separating them into clear steps.,0.74461746,1,0
15,Analytical Reasoning,I break problems into clear steps.,I manage issues by dividing them into simple steps.,0.7015537,1,0
16,Analytical Reasoning,I break problems into clear steps.,I deal with issues by breaking them into steps.,0.7816433,0,0
17,Analytical Reasoning,I break problems into clear steps.,I face issues by splitting them into clear steps.,0.7573042,0,0
18,Analytical Reasoning,I break problems into clear steps.,I address issues by dividing them into steps.,0.687425,1,0
19,Analytical Reasoning,I break problems into clear steps.,I work through issues by breaking them down into steps.,0.74872947,1,0
20,Analytical Reasoning,I break problems into clear steps.,I resolve issues by splitting them into smaller steps.,0.71646476,1,0
21,Analytical Reasoning,I break problems into clear steps.,I overcome issues by dividing them into steps.,0.75136894,0,0
22,Analytical Reasoning,I break problems into clear steps.,I handle challenges by breaking them into steps.,0.61752754,1,0
23,Analytical Reasoning,I break problems into clear steps.,I solve challenges by dividing them into smaller parts.,0.53144425,1,0
24,Analytical Reasoning,I break problems into clear steps.,I tackle challenges by splitting them into steps.,0.65708387,1,0
25,Analytical Reasoning,I break problems into clear steps.,I approach challenges by separating them into clear steps.,0.66236943,1,0
26,Analytical Reasoning,I break problems into clear steps.,I manage challenges by dividing them into simple steps.,0.56038105,1,0
27,Analytical Reasoning,I break problems into clear steps.,I deal with challenges by breaking them into steps.,0.640486,1,0
28,Systems Perspective,I see how parts fit a whole.,I understand how pieces come together to form a complete picture.,0.5229858,1,0
29,Systems Perspective,I see how parts fit a whole.,I can tell how different elements work together.,0.43449807,1,0
30,Systems Perspective,I see how parts fit a whole.,I notice how individual parts combine into a whole.,0.7252745,1,0
31,Systems Perspective,I see how parts fit a whole.,I recognize how various components fit into a larger system.,0.6332232,1,0
32,Systems Perspective,I see how parts fit a whole.,I grasp how separate pieces create a complete structure.,0.49692893,1,0
33,Systems Perspective,I see how parts fit a whole.,I perceive how various parts integrate into one.,0.54726505,1,0
34,Systems Perspective,I see how parts fit a whole.,I comprehend how individual elements contribute to a whole.,0.44457603,1,0
35,Systems Perspective,I see how parts fit a whole.,I identify how different sections connect to make a complete unit.,0.486891,1,0
36,Systems Perspective,I see how parts fit a whole.,I discern how separate parts make up a whole.,0.7083708,1,0
37,Systems Perspective,I see how parts fit a whole.,I realize how various pieces fit together in a system.,0.66402185,1,0
38,Systems Perspective,I see how parts fit a whole.,I observe how different elements fit into a complete picture.,0.57937163,1,0
39,Systems Perspective,I see how parts fit a whole.,I see how components come together as one.,0.5879163,1,0
40,Systems Perspective,I see how parts fit a whole.,I understand how sections form a complete whole.,0.44647005,1,0
41,Systems Perspective,I see how parts fit a whole.,I can see how individual parts are part of a bigger picture.,0.7101766,1,0
42,Systems Perspective,I see how parts fit a whole.,I recognize how different elements fit into a complete system.,0.5536295,1,0
43,Systems Perspective,I see how parts fit a whole.,I notice how various components come together to form a whole.,0.5710794,1,0
44,Systems Perspective,I see how parts fit a whole.,I grasp how different parts create a single unit.,0.5449834,1,0
45,Systems Perspective,I see how parts fit a whole.,I perceive how individual sections contribute to a complete picture.,0.39656383,1,0
46,Systems Perspective,I see how parts fit a whole.,I comprehend how separate pieces fit into a larger framework.,0.5222968,1,0
47,Systems Perspective,I see how parts fit a whole.,I identify how individual elements fit into a bigger picture.,0.56559616,1,0
48,Systems Perspective,I see how parts fit a whole.,I discern how components work together as a whole.,0.5182663,1,0
49,Systems Perspective,I see how parts fit a whole.,I see how different sections create a complete structure.,0.40670508,1,0
50,Systems Perspective,I see how parts fit a whole.,I realize how individual elements are part of a whole.,0.5474591,1,0
51,Systems Perspective,I see how parts fit a whole.,I observe how components fit into a larger system.,0.6047728,1,0
52,Systems Perspective,I see how parts fit a whole.,I understand how different pieces make up a complete picture.,0.54361004,1,0
53,Systems Perspective,I see how parts fit a whole.,I can see how various elements form a whole.,0.4487031,1,0
54,Systems Perspective,I see how parts fit a whole.,I recognize how parts come together as one.,0.65990645,1,0
55,Systems Perspective,I see how parts fit a whole.,I notice how different pieces fit into a complete unit.,0.6895719,1,0
56,Foresight,I anticipate future outcomes.,I look forward to what will happen next.,0.61792624,1,0
57,Foresight,I anticipate future outcomes.,I expect what is going to occur.,0.5887102,1,0
58,Foresight,I anticipate future outcomes.,I think about what will happen in the future.,0.5551341,1,0
59,Foresight,I anticipate future outcomes.,I foresee what is coming.,0.6160408,1,0
60,Foresight,I anticipate future outcomes.,I imagine what will occur later.,0.5539702,1,0
61,Foresight,I anticipate future outcomes.,I plan for what might happen.,0.61852384,1,0
62,Foresight,I anticipate future outcomes.,I prepare for the future outcomes.,0.8501887,0,0
63,Foresight,I anticipate future outcomes.,I consider the results of upcoming events.,0.61650836,1,0
64,Foresight,I anticipate future outcomes.,I predict what will happen soon.,0.6132386,1,0
65,Foresight,I anticipate future outcomes.,I envision what lies ahead.,0.65419936,1,0
66,Foresight,I anticipate future outcomes.,I focus on what is likely to occur.,0.5956487,1,0
67,Foresight,I anticipate future outcomes.,I get ready for future events.,0.6387482,1,0
68,Foresight,I anticipate future outcomes.,I think about future possibilities.,0.59636325,1,0
69,Foresight,I anticipate future outcomes.,I evaluate what is going to happen.,0.6055412,1,0
70,Foresight,I anticipate future outcomes.,I imagine future situations.,0.6622964,1,0
71,Foresight,I anticipate future outcomes.,I predict future events.,0.7064713,1,0
72,Foresight,I anticipate future outcomes.,I see what is coming in the future.,0.5441598,1,0
73,Foresight,I anticipate future outcomes.,I expect what will happen next.,0.5701103,1,0
74,Foresight,I anticipate future outcomes.,I anticipate what might happen soon.,0.6658299,1,0
75,Foresight,I anticipate future outcomes.,I prepare for coming events.,0.548586,1,0
76,Foresight,I anticipate future outcomes.,I consider what will occur later.,0.63332915,1,0
77,Foresight,I anticipate future outcomes.,I foresee upcoming events.,0.68474984,1,0
78,Foresight,I anticipate future outcomes.,I imagine what the future holds.,0.6139728,1,0
79,Foresight,I anticipate future outcomes.,I think about what is to come.,0.36930424,1,0
80,Foresight,I anticipate future outcomes.,I contemplate future events.,0.6756437,1,0
81,Foresight,I anticipate future outcomes.,I expect future developments.,0.553684,1,0
82,Foresight,I anticipate future outcomes.,I envision what will take place.,0.62697434,1,0
83,Foresight,I anticipate future outcomes.,I imagine possible future outcomes.,0.73588115,1,0
84,Curiosity,I enjoy exploring new ideas.,I like discovering new concepts.,0.8427998,0,0
85,Curiosity,I enjoy exploring new ideas.,I find joy in learning about new topics.,0.72230285,1,0
86,Curiosity,I enjoy exploring new ideas.,I am keen on understanding different ideas.,0.5407162,1,0
87,Curiosity,I enjoy exploring new ideas.,I love to learn about new things.,0.7581598,0,0
88,Curiosity,I enjoy exploring new ideas.,I take pleasure in exploring different thoughts.,0.6774489,1,0
