,facet,stem_text,drift_flag,readability_flag,length_flag,anchor,cosine_similarity
0,Analytical Reasoning,I solve problems by dividing them into clear steps.,0,0,0,I break problems into clear steps.,0.920534
1,Analytical Reasoning,I handle problems by breaking them down into manageable steps.,0,0,0,I break problems into clear steps.,0.7576245
2,Analytical Reasoning,I tackle issues by splitting them into clear parts.,0,0,0,I break problems into clear steps.,0.7982553
3,Analytical Reasoning,I work through problems by separating them into clear stages.,0,0,0,I break problems into clear steps.,0.8230187
4,Analytical Reasoning,I manage problems by dividing them into easy steps.,0,0,0,I break problems into clear steps.,0.7671614
5,Analytical Reasoning,I deal with problems by turning them into clear steps.,0,0,0,I break problems into clear steps.,0.7909669
6,Analytical Reasoning,I approach problems by breaking them into understandable steps.,0,0,0,I break problems into clear steps.,0.8763509
7,Analytical Reasoning,I resolve issues by organizing them into clear phases.,0,0,0,I break problems into clear steps.,0.6783664
8,Analytical Reasoning,I confront problems by dividing them into clear steps.,0,0,0,I break problems into clear steps.,0.7969175
9,Analytical Reasoning,I figure out problems by breaking them into parts.,0,0,0,I break problems into clear steps.,0.81574893
10,Analytical Reasoning,I navigate problems by separating them into clear steps.,0,0,0,I break problems into clear steps.,0.82546914
11,Analytical Reasoning,I clarify problems by splitting them into simple steps.,0,0,0,I break problems into clear steps.,0.85486215
12,Analytical Reasoning,I handle challenges by dividing them into clear steps.,0,0,0,I break problems into clear steps.,0.71495885
13,Analytical Reasoning,I solve issues by breaking them down into understandable steps.,0,0,0,I break problems into clear steps.,0.8174617
14,Analytical Reasoning,I work on problems by organizing them into clear steps.,0,0,0,I break problems into clear steps.,0.8675529
15,Analytical Reasoning,I deal with challenges by dividing them into easy steps.,0,0,0,I break problems into clear steps.,0.6831739
16,Analytical Reasoning,I address issues by breaking them into clear sections.,0,0,0,I break problems into clear steps.,0.63465583
17,Analytical Reasoning,I approach challenges by dividing them into simple steps.,0,0,0,I break problems into clear steps.,0.7631006
18,Analytical Reasoning,I face problems by organizing them into clear steps.,0,0,0,I break problems into clear steps.,0.7959764
19,Analytical Reasoning,I tackle problems by breaking them into distinct steps.,0,0,0,I break problems into clear steps.,0.9226057
20,Analytical Reasoning,I handle situations by dividing them into clear steps.,0,0,0,I break problems into clear steps.,0.71385413
21,Analytical Reasoning,I resolve problems by separating them into easy parts.,0,0,0,I break problems into clear steps.,0.7664542
22,Analytical Reasoning,I manage challenges by breaking them into clear steps.,0,0,0,I break problems into clear steps.,0.75537974
23,Analytical Reasoning,I confront issues by organizing them into simple steps.,0,0,0,I break problems into clear steps.,0.75649166
24,Analytical Reasoning,I work through challenges by dividing them into clear phases.,0,0,0,I break problems into clear steps.,0.6992308
25,Analytical Reasoning,I solve problems by splitting them into clear stages.,0,0,0,I break problems into clear steps.,0.8791629
26,Analytical Reasoning,I address challenges by breaking them into manageable steps.,0,0,0,I break problems into clear steps.,0.7291633
27,Systems Perspective,I understand how pieces come together to form a complete picture.,0,0,0,I see how parts fit a whole.,0.708775
28,Systems Perspective,I notice how different elements make a whole.,0,0,0,I see how parts fit a whole.,0.77609044
29,Systems Perspective,I recognize how various parts combine to make something complete.,0,0,0,I see how parts fit a whole.,0.7756411
30,Systems Perspective,I see how individual sections create a unified whole.,0,0,0,I see how parts fit a whole.,0.74803436
31,Systems Perspective,I perceive how components fit together to form a complete unit.,0,0,0,I see how parts fit a whole.,0.7407347
32,Systems Perspective,I grasp how separate parts connect to make a full picture.,0,0,0,I see how parts fit a whole.,0.6880599
33,Systems Perspective,I comprehend how elements join to create a whole.,0,0,0,I see how parts fit a whole.,0.6566654
34,Systems Perspective,I realize how different pieces work together to form a complete structure.,0,0,0,I see how parts fit a whole.,0.7004918
35,Systems Perspective,I observe how parts link to create something complete.,0,0,0,I see how parts fit a whole.,0.7153946
36,Systems Perspective,I notice how different sections contribute to a full picture.,0,0,0,I see how parts fit a whole.,0.65514946
37,Systems Perspective,I see how pieces align to form a complete image.,0,0,0,I see how parts fit a whole.,0.68280905
38,Systems Perspective,I recognize how each part plays a role in the whole.,0,0,0,I see how parts fit a whole.,0.7160391
39,Systems Perspective,I understand how components fit together in a complete form.,0,0,0,I see how parts fit a whole.,0.71207404
40,Systems Perspective,I realize how sections blend to make a whole.,0,0,0,I see how parts fit a whole.,0.70357513
